ResponseId,affiliation,adultQ,politics,party,usdream_1,usdream_2,sex,edu,race,income,USresidency,Political_views,Party_affiliation,NPItot,MoAimportSUM,MoAachieveSUM,IDEASUM,mindfulSUM,belongSUM,efficacySUM,supportSUM,SocMediaSum,NPI_sum,physsymSUM,stressSUM
R_1cZGRsR5RpMDcIA,bradley,1,2,3,1,2,2,5,2,3,1,2,3,5,75,57,29,55,33,33,61,34,20,20,33
R_W6WIq7D3KkGS3MR,bradley,1,6,5,4,4,2,3,1,4,1,6,5,2,58,45,23,60,42,27,68,39,19,21,35
R_1GNgmIJgGlQXJks,bradley,1,2,2,3,3,2,2,1,1,1,2,2,6,58,38,31,67,34,40,68,41,21,21,30
R_3O9vipyLv65B2mm,bradley,2,2,3,4,3,2,2,1,6,1,2,3,3,69,37,29,57,35,31,61,39,22,21,32
R_2zl7ege5Pv8Fjsr,bradley,3,5,5,5,5,2,2,1,2,1,5,5,5,59,39,32,63,40,38,83,41,22,21,30
R_pRxMchbz8PM1Gzn,bradley,1,1,1,4,4,1,2,1,8,1,1,1,4,51,33,29,52,36,30,58,32,19,21,34
R_A08xSHSwFScY2Nb,bradley,2,2,2,2,3,2,2,1,5,1,2,2,2,55,37,32,53,37,27,80,27,21,21,34
R_1H0lHiGF6IiKR7O,bradley,1,2,2,3,3,2,2,1,7,1,2,2,0,63,33,29,34,36,31,78,39,21,21,37
R_10ZTeK5tAqSKyCl,bradley,3,4,3,4,4,1,2,1,1,1,4,3,3,66,49,27,40,42,30,74,32,22,21,39
R_1EhxwuV8dcx8nCY,bradley,1,2,3,4,4,1,2,1,7,1,2,3,4,68,35,31,56,44,33,70,21,21,21,35
R_1CvJ7B19kLK377K,bradley,1,2,2,4,4,2,2,1,7,1,2,2,2,60,40,30,85,40,32,84,26,23,21,32
R_24XEmWXZxZRWLoB,bradley,2,2,2,5,4,2,5,1,1,1,2,2,3,63,38,28,80,31,34,78,39,22,21,34
R_1CpEVdduwKceHj2,bradley,2,3,3,5,5,2,2,5,7,1,3,3,4,73,42,31,47,36,34,79,36,19,21,32
R_3PZkiOKGN0odJz7,bradley,2,2,2,2,3,2,2,1,3,1,2,2,5,57,36,29,43,36,28,58,33,22,22,28
R_rrRQTWbKMr2G9fr,bradley,1,5,5,4,3,2,2,4,1,1,5,5,2,74,35,28,61,41,28,73,32,21,22,30
R_2CksA2HbVlD4tnv,bradley,1,2,3,2,3,2,2,1,5,1,2,3,2,72,39,32,63,42,37,75,43,21,23,32
R_x9JFVQSWH2rwzYd,bradley,2,3,3,3,2,2,2,1,4,1,3,3,4,72,36,27,60,31,30,71,41,19,23,35
R_1iaHHLyQI7E0ttg,bradley,1,4,4,4,5,2,2,1,6,1,4,4,6,69,38,29,55,38,37,65,26,19,23,34
R_3fNMFJqkhqxIOwr,bradley,1,2,3,3,4,2,2,1,7,1,2,3,7,59,27,31,54,42,30,78,39,20,23,33
R_1oCsWWTULgQR7ML,bradley,1,1,1,1,1,2,5,2,3,1,1,1,9,78,44,30,43,35,36,79,30,20,24,46
R_2CDFNZyX5JiOAlD,bradley,2,2,1,1,3,2,2,1,7,1,2,1,3,44,31,32,39,43,29,55,42,20,25,34
R_2zjTLZW5a2xjqPM,bradley,2,3,3,4,3,2,2,2,2,1,3,3,5,60,40,32,49,36,29,72,29,22,25,37
R_1MRHY0jWkvNRMKO,bradley,1,4,5,4,4,2,2,1,1,1,4,5,4,58,45,24,55,36,30,48,33,21,26,30
R_3MG1HWL4OpS2MEP,bradley,2,4,5,3,4,2,2,3,2,1,4,5,5,71,30,29,58,36,26,62,38,20,27,30
R_2By8C62BXWPq5pQ,bradley,3,1,2,3,3,2,2,1,1,1,1,2,0,66,37,31,45,40,30,69,34,21,28,32
R_1qagoomzk30PzBN,bradley,1,5,6,4,4,2,2,1,1,1,5,6,6,70,41,30,51,44,33,81,41,23,28,28
R_bNP5EhKb0FtS57b,bradley,1,4,3,5,5,2,2,1,3,1,4,3,8,66,43,30,38,39,34,76,42,19,29,33
R_2Bgi4aQubwi1wsa,bradley,2,2,3,2,3,1,2,1,5,1,2,3,5,57,35,30,51,36,35,58,37,22,30,32
R_27vTV7X1jwyyeJv,bradley,1,1,1,5,5,1,2,1,2,1,1,1,10,64,41,32,35,31,33,53,44,17,32,33
R_79BKS2SvEP887QZ,bradley,1,6,6,4,3,1,2,1,1,1,6,6,4,66,40,30,32,35,33,65,27,17,34,31
