ResponseId,affiliation,adultQ,politics,party,usdream_1,usdream_2,sex,edu,race,income,USresidency,Political_views,Party_affiliation,NPItot,MoAimportSUM,MoAachieveSUM,IDEASUM,mindfulSUM,belongSUM,efficacySUM,supportSUM,SocMediaSum,NPI_sum,physsymSUM,stressSUM
R_1ps4iVMLegLpqEb,Norco,1,5,2,5,5,2,2,3,3,1,5,2,2,57,51,32,81,38,32,84,34,19,21,35
R_qURPMz0jlppHP6V,Norco,2,3,3,4,4,2,2,4,1,1,3,3,2,45,36,27,74,31,33,79,33,21,21,26
R_3NP6lCf4W5PTWqC,Norco,2,4,4,1,1,1,2,1,7,1,4,4,0,49,38,21,64,29,28,74,16,21,22,36
R_28UQn8HPB2baDGY,Norco,1,4,2,4,3,2,2,1,3,1,4,2,3,65,38,27,58,38,27,51,29,22,22,31
R_0q8r4AJ0KRqJD6F,Norco,1,6,2,3,2,2,5,1,6,1,6,2,0,63,59,18,83,33,31,73,22,21,22,32
R_1HkQvgoFlOQaC1K,Norco,1,2,1,1,3,2,2,3,4,1,2,1,1,57,38,31,67,36,39,84,41,22,22,34
R_3HzbGPxye5EsyaC,Norco,2,3,2,4,4,2,2,2,7,1,3,2,2,73,38,29,56,40,31,70,35,19,22,35
R_1iaHJacpmRXp8tM,Norco,1,1,1,1,1,2,4,3,5,1,1,1,8,59,32,28,63,37,27,67,41,17,22,34
R_1q9isvEfz3YWxjb,Norco,1,2,2,2,4,2,2,1,2,1,2,2,2,50,35,30,63,35,25,77,39,21,23,35
R_1ohC7WLeB4p1ZYs,Norco,1,3,3,4,4,1,2,1,2,1,3,3,2,67,38,27,48,36,27,76,27,19,23,35
R_2uvQyj5NgGQmiGI,Norco,1,4,3,3,3,2,4,1,1,1,4,3,4,70,44,30,50,43,33,73,34,21,23,35
R_3MbeRqw5AGCYebk,Norco,2,5,2,4,4,2,2,3,3,1,5,2,0,55,30,28,57,37,29,44,33,21,23,27
R_1Q4n1iXe2kQPAeD,Norco,1,1,4,3,2,2,3,3,4,1,1,4,0,70,46,28,52,38,22,76,40,21,24,38
R_VPbz3XSFJJVzfDb,Norco,1,4,3,3,3,2,3,3,1,1,4,3,7,73,38,32,56,38,30,43,52,22,24,40
R_2bK9bo9wTtDaESO,Norco,2,3,3,4,3,1,2,3,3,1,3,3,3,63,35,27,60,38,25,52,33,22,24,29
R_2f83SPTKnTCgoP3,Norco,2,2,2,5,5,2,2,3,4,1,2,2,7,67,39,29,56,33,36,78,40,16,24,37
R_3D8clqjjzwdbxzC,Norco,1,4,3,3,3,2,4,3,4,1,4,3,3,66,41,28,55,29,32,64,16,22,24,36
R_3ekTGWgkdaPa0xD,Norco,1,4,3,4,2,2,1,1,1,1,4,3,1,61,38,32,35,38,33,72,50,20,25,35
R_s5wX18VCu98nlMR,Norco,1,2,2,5,3,2,3,3,2,1,2,2,4,70,42,31,57,31,36,51,37,21,25,41
R_1fjY5WGwT4Ffaow,Norco,1,6,5,2,2,2,2,3,3,1,6,5,0,59,59,20,56,30,24,74,28,21,25,28
R_1rHy3qoIOZAuoi8,Norco,2,2,2,4,1,2,2,3,3,1,2,2,8,66,35,32,41,32,29,44,28,17,25,32
R_0vtxu9tY1OZlZKh,Norco,2,5,4,3,3,2,4,3,4,1,5,4,3,57,37,31,49,33,31,77,31,20,25,28
R_24Hl3IlUORzceOO,Norco,1,4,3,4,5,2,2,4,2,1,4,3,3,61,47,28,58,33,35,58,41,20,25,35
R_1mPH5l6lonV8vLT,Norco,3,1,3,2,1,1,1,3,2,1,1,3,1,64,37,22,41,40,29,36,42,22,25,32
R_3Oq3EGaUOt5fKxD,Norco,1,2,1,4,4,2,2,3,3,1,2,1,2,40,36,28,60,40,29,63,36,19,25,36
R_3kHvlhbxEzJSeuU,Norco,1,5,6,4,4,2,2,1,5,1,5,6,2,68,40,31,46,38,29,73,39,21,26,36
R_3e8oRKq0hRcKh3n,Norco,2,1,1,5,4,2,5,1,3,1,1,1,6,68,37,29,47,36,32,69,49,17,26,37
R_Wr1ZT9xEnPY0V9v,Norco,1,4,1,4,2,2,4,3,3,1,4,1,1,67,50,24,63,33,31,71,25,20,26,38
R_2aUBGLaJC5trdUH,Norco,1,2,2,4,4,2,2,4,1,1,2,2,3,60,47,32,36,40,26,84,44,18,26,32
R_OEbHBhOayrRPsxb,Norco,1,1,1,4,4,2,2,3,5,1,1,1,4,79,36,32,75,53,37,84,44,21,27,35
R_32L2dFY2ctka0gb,Norco,1,3,3,4,4,2,2,1,5,1,3,3,7,44,38,32,44,39,35,77,39,20,28,34
R_3PIcJkreQ4Rl97s,Norco,1,6,4,5,1,2,3,1,2,1,6,4,3,74,45,23,37,36,38,36,23,18,30,29
R_126hlQCkLu4yrOw,Norco,1,3,2,4,4,2,3,3,4,1,3,2,6,60,45,30,45,43,30,76,47,19,31,37
R_ptqKoAoumFWxsAN,Norco,1,2,4,5,1,1,2,3,2,1,2,4,1,63,32,21,50,35,18,22,11,20,31,30
R_1dAdQ4SKO3cCbl2,Norco,1,4,3,4,4,2,2,4,1,1,4,3,8,63,39,28,69,38,36,70,37,19,31,32
R_bBMkBpBAvEEWieR,Norco,2,1,4,1,1,2,2,3,5,1,1,4,1,70,35,32,34,36,26,43,33,22,33,39
R_3rHvfDpmtuOxfuL,Norco,1,2,3,3,4,2,2,3,4,1,2,3,8,76,37,32,25,30,34,62,42,19,37,43
R_3gUHyWQVGEpfMaI,Norco,1,2,4,4,4,2,2,3,4,1,2,4,10,63,42,25,59,39,25,51,33,17,37,38
R_3F31D0OFETbLpJL,Norco,1,6,3,5,5,2,3,3,4,2,6,3,2,74,55,25,58,35,34,67,30,21,29,36
