ResponseId,affiliation,adultQ,politics,party,usdream_1,usdream_2,sex,edu,race,income,USresidency,Political_views,Party_affiliation,NPItot,MoAimportSUM,MoAachieveSUM,IDEASUM,mindfulSUM,belongSUM,efficacySUM,supportSUM,SocMediaSum,NPI_sum,physsymSUM,stressSUM
R_2EyGlIbg2IpSzUd,plu,1,2,3,4,5,2,2,1,2,1,2,3,6,63,45,28,55,36,35,67,31,23,28,33
R_2qmxMyiFncPp8Ix,plu,2,4,4,4,4,2,2,1,5,1,4,4,5,78,38,32,36,42,37,65,49,20,28,34
R_RmJ3Jd3fBgsmoxz,plu,1,4,5,1,3,2,2,1,5,1,4,5,4,70,40,29,67,41,30,79,46,21,28,40
R_2TZ9L3flE3vNDae,plu,2,7,7,5,3,2,2,1,4,1,7,7,3,73,31,32,40,42,26,28,24,18,28,31
R_3nUIpwDHc8lYYaE,plu,1,2,2,5,5,2,2,1,3,1,2,2,7,72,38,32,58,40,38,83,53,20,28,35
R_2ccI0mwWBJgUA3D,plu,1,1,2,5,5,2,2,3,4,1,1,2,6,68,37,30,51,38,30,62,55,19,28,46
R_1yLbgmG7n3KZTYl,plu,1,1,1,3,3,1,2,1,2,1,1,1,1,74,34,29,46,28,29,53,26,20,29,35
R_10Z9bVcmtG3o3nc,plu,1,4,4,4,3,2,2,1,5,1,4,4,2,64,50,23,78,42,38,72,32,23,29,33
R_1DvstcO4oEM43bF,plu,1,6,5,4,4,2,2,1,5,1,6,5,2,71,39,30,39,42,27,54,35,21,29,35
R_2v98xnDffMON384,plu,1,3,3,3,4,2,2,1,2,1,3,3,4,67,38,28,44,38,29,53,23,19,29,33
R_3NDmSpf4Qk1z3yA,plu,3,2,1,2,3,2,2,1,4,1,2,1,6,56,43,31,29,40,26,65,31,23,30,37
R_2cekSVX6rANToZh,plu,1,2,1,1,3,2,2,3,3,1,2,1,8,74,39,32,65,38,40,61,55,21,30,43
R_8Car2Y19Fl32Ge5,plu,1,2,2,3,3,2,2,1,1,1,2,2,4,70,35,31,36,35,28,73,41,19,31,38
R_2eb6V3p2lN2j9Nt,plu,2,6,7,4,5,2,2,1,1,1,6,7,6,74,34,32,40,43,24,72,51,17,32,48
R_ymyvzdaHBIdanpD,plu,1,2,2,1,1,2,4,1,6,1,2,2,9,58,35,28,62,37,29,71,28,18,32,29
R_3IYv1mJMGVGgtEa,plu,2,2,3,2,3,2,4,3,2,1,2,3,1,48,43,29,48,37,30,62,22,20,32,35
R_2tc817r1ndfTHAl,plu,1,2,3,2,3,2,2,4,1,1,2,3,1,54,0,30,45,40,36,21,31,20,32,39
R_1eqrAonjbqx7vxX,plu,2,2,2,2,2,2,2,1,8,1,2,2,3,57,33,29,33,38,28,79,44,20,34,41
