ResponseId,affiliation,adultQ,politics,party,usdream_1,usdream_2,sex,edu,race,income,USresidency,Political_views,Party_affiliation,NPItot,MoAimportSUM,MoAachieveSUM,IDEASUM,mindfulSUM,belongSUM,efficacySUM,supportSUM,SocMediaSum,NPI_sum,physsymSUM,stressSUM
R_3fdV2nejutSdKUU,SUNYfredonia,1,3,3,4,4,1,2,1,4,1,3,3,6,64,34,29,57,38,36,66,34,19,19,31
R_1QnDx8fpXcof2J0,SUNYfredonia,1,3,5,5,5,2,2,1,7,1,3,5,4,57,45,31,45,42,35,84,41,19,19,36
R_1M6RMQqfBrwzBhn,SUNYfredonia,1,2,3,3,3,2,2,1,3,1,2,3,6,63,32,32,55,41,40,84,40,23,19,29
R_2xEtjnGD7N4WxK3,SUNYfredonia,1,4,3,2,3,2,2,1,2,1,4,3,4,59,43,32,72,35,37,60,27,19,19,34
R_xinAHaGX73o2ak1,SUNYfredonia,2,1,1,2,3,2,2,3,1,1,1,1,4,77,35,30,68,37,29,71,35,19,19,32
R_3RshcmuvIDV6lRW,SUNYfredonia,1,2,1,4,4,2,2,1,1,1,2,1,3,66,36,28,59,38,32,74,43,20,20,35
R_1IGJKhA2darqWt1,SUNYfredonia,1,3,3,3,2,2,2,1,7,1,3,3,1,55,38,29,58,42,31,77,39,20,20,29
R_2U5iU2aOUnStOBD,SUNYfredonia,2,6,6,4,4,2,2,1,4,1,6,6,2,76,30,24,43,39,27,78,37,21,20,30
R_3wOnvhx0icDLJjb,SUNYfredonia,1,5,6,3,3,2,2,1,4,1,5,6,4,63,43,27,40,32,30,71,36,17,20,34
R_21vyWL4ATZfn1tY,SUNYfredonia,1,5,5,5,4,2,2,1,1,1,5,5,1,80,51,30,53,42,38,61,29,20,20,11
R_2zf12sRzx6qYCqH,SUNYfredonia,1,6,5,4,4,2,2,1,1,1,6,5,0,80,50,24,63,41,28,64,33,21,20,33
R_BQhQV5jhKcSvUTT,SUNYfredonia,1,4,4,4,5,1,2,1,7,1,4,4,4,69,32,31,52,25,32,84,29,19,20,35
R_1IT498R5zpn8GYh,SUNYfredonia,1,4,4,5,3,1,2,1,5,1,4,4,2,66,46,26,72,33,26,66,32,19,20,27
R_2B5QMyfIs2rDSeG,SUNYfredonia,1,5,3,4,5,2,2,1,5,1,5,3,5,71,36,29,53,39,32,76,36,22,20,29
R_3EstMS7su1jz1NH,SUNYfredonia,2,2,2,3,4,2,2,1,6,1,2,2,9,54,42,29,39,39,37,75,36,22,20,38
R_9oeAvhMx3Bvawr7,SUNYfredonia,1,3,3,4,4,2,2,1,6,1,3,3,2,66,38,32,59,39,30,78,44,19,20,33
R_svwlmBGZE2vKTzX,SUNYfredonia,2,3,2,4,5,2,2,1,5,1,3,2,2,80,40,28,80,36,29,66,32,21,20,28
R_2c0nDK6GfuxdrA3,SUNYfredonia,1,2,2,4,3,2,4,1,3,1,2,2,2,78,36,30,47,40,24,74,26,21,20,38
R_278SZjTW0Uw9sM3,SUNYfredonia,1,4,5,4,4,2,2,3,4,1,4,5,5,77,37,32,66,42,37,83,45,22,20,38
R_1f9Fkx8HFLhhUaI,SUNYfredonia,3,1,3,1,1,2,2,3,3,1,1,3,7,57,40,30,35,36,29,22,25,18,20,40
R_3RpIbQSoRVKzVa3,SUNYfredonia,1,4,5,4,3,2,2,1,1,1,4,5,1,76,31,32,48,38,30,79,38,22,21,30
R_oYaG86gTB3fDcoV,SUNYfredonia,1,4,3,4,3,2,2,1,6,1,4,3,0,63,33,25,46,38,25,39,27,21,21,37
R_1mxaL9npDckmlZQ,SUNYfredonia,1,1,1,1,1,2,2,1,5,1,1,1,8,59,36,32,38,45,30,66,40,19,21,36
R_2ayRtzVx1sScCIq,SUNYfredonia,2,2,2,2,4,2,2,1,5,1,2,2,2,63,38,30,37,35,28,72,28,21,21,35
R_Za7CjBkxnCNkOiZ,SUNYfredonia,3,4,6,5,3,2,2,1,1,1,4,6,8,73,33,31,43,44,36,82,44,17,21,39
R_rcdoWsnuIYY8Xux,SUNYfredonia,1,1,3,1,4,2,2,5,4,1,1,3,8,60,35,31,52,32,34,39,33,19,21,36
R_2B8t4RzeHpvY2AB,SUNYfredonia,2,2,1,1,2,2,2,1,7,1,2,1,3,44,34,29,45,38,24,61,19,20,22,27
R_2AHD1vjMRsjdKUo,SUNYfredonia,2,6,6,5,5,1,2,1,8,1,6,6,7,74,37,32,80,37,36,81,29,18,22,33
R_3w4CrhENr57ANUd,SUNYfredonia,1,3,3,2,3,2,2,1,2,1,3,3,5,75,35,30,46,43,31,61,39,16,22,37
R_3HgYwRXtNeqBQNl,SUNYfredonia,3,5,5,4,4,2,2,1,7,1,5,5,4,66,33,28,75,38,40,83,37,21,22,32
R_AMo9576CnkQdNqF,SUNYfredonia,2,2,2,4,3,2,2,1,7,1,2,2,0,78,40,32,52,44,30,72,32,21,22,31
R_2R48s7TCIzYB5Jx,SUNYfredonia,1,3,3,5,5,1,2,1,6,1,3,3,1,69,39,30,62,42,39,70,33,22,22,30
R_C2KSoLff4SCbPMt,SUNYfredonia,2,3,1,3,2,2,2,1,7,1,3,1,2,66,34,30,61,42,27,83,34,21,22,27
R_2uy5PNSz6l6CYhx,SUNYfredonia,2,4,3,3,3,2,2,1,4,1,4,3,4,47,32,30,32,33,27,50,24,21,22,30
R_1fjQVvavBUHCpPQ,SUNYfredonia,3,2,2,3,4,2,2,1,5,1,2,2,2,63,32,31,52,37,24,74,42,21,22,36
R_271dhGTbc8KQ1Ox,SUNYfredonia,1,3,3,2,2,1,2,1,2,1,3,3,3,66,36,28,45,34,33,50,34,20,22,32
R_1PedS33L7mjiGQR,SUNYfredonia,1,4,4,2,3,2,2,1,5,1,4,4,3,61,37,26,54,36,34,61,30,20,22,34
R_2rSLn3N450ri3Ai,SUNYfredonia,1,2,1,5,5,2,4,1,2,1,2,1,0,74,39,24,36,38,29,70,34,21,22,39
R_3I9ONgdNzFVxNhA,SUNYfredonia,1,4,5,4,4,2,4,1,2,1,4,5,0,63,49,29,44,42,31,78,35,21,22,32
R_3LdNly2yX7WH7IS,SUNYfredonia,1,4,3,4,3,2,5,1,4,1,4,3,6,68,40,30,66,40,40,75,35,19,22,32
R_2EhNFFSzlUJygUA,SUNYfredonia,3,2,3,3,3,1,2,3,5,1,2,3,2,65,47,32,47,43,29,77,38,21,22,33
R_yjs5RFwSVqGDFhD,SUNYfredonia,1,6,7,4,5,2,2,1,5,1,6,7,2,60,38,27,51,34,31,41,40,19,23,31
R_3GB8NvyrcX3VTiw,SUNYfredonia,1,4,4,4,3,2,2,1,3,1,4,4,2,79,42,30,68,43,28,84,37,19,23,33
R_2U59F6QMGIuR6mU,SUNYfredonia,1,5,5,4,5,2,2,1,1,1,5,5,8,64,30,31,46,33,34,22,32,21,23,34
R_30diJWogGjMnUwX,SUNYfredonia,1,1,1,2,3,2,2,1,1,1,1,1,0,58,39,30,44,40,28,70,39,21,23,38
R_3kMz6PBErgcJUW5,SUNYfredonia,1,3,4,3,3,2,2,1,5,1,3,4,2,60,43,29,79,31,37,80,29,21,23,33
R_3PFBuw7nBnErphE,SUNYfredonia,1,4,5,4,4,2,2,6,2,1,4,5,3,73,40,28,59,35,30,84,33,20,23,32
R_1QnNfX0yeuccZQ2,SUNYfredonia,1,4,3,4,5,2,2,2,3,1,4,3,8,79,27,28,70,33,29,64,32,19,23,34
R_1oojmXuLjKhxUdV,SUNYfredonia,1,3,4,2,3,2,2,2,1,1,3,4,1,72,57,32,58,39,29,70,41,22,23,32
R_w4v6jEcK9Bnui3L,SUNYfredonia,3,3,3,4,3,2,2,1,6,1,3,3,6,68,30,28,57,32,29,46,38,19,24,30
R_5jXtUo1Ex1VFrPz,SUNYfredonia,1,4,5,4,4,2,2,1,7,1,4,5,7,74,32,28,51,35,25,74,41,16,24,31
R_24LRBtn7BCA8FAF,SUNYfredonia,2,4,5,5,5,2,2,1,4,1,4,5,3,68,39,30,51,39,32,79,33,20,24,39
R_3OdKKeBME5Kgijc,SUNYfredonia,1,6,6,5,3,2,3,1,4,1,6,6,2,64,34,30,62,43,38,32,42,19,25,36
R_3OeT73BzNo5nLcS,SUNYfredonia,1,1,1,2,3,2,2,1,6,1,1,1,1,48,40,28,55,34,27,60,35,20,25,41
